App,Percent of Plays
Web Browser,0.4900662251655629
Apple Podcasts,0.30022075055187636
Spotify,0.12362030905077263
Anchor,0.03090507726269316
Google Podcasts,0.03090507726269316
Other,0.024282560706401765
